doc_id,gold_participants,gold_interventions,gold_outcomes,pred_participants,pred_interventions,pred_outcomes,approach
10338217,"Our aim was to evaluate enteral and parenteral glutamine in patients undergoing BMT . METHODS For evaluation of GLN in BMT , 66 patients with 43 hematologic and 23 solid malignancies ( 21 breast carcinomas ) , were randomized , double-blinded , to either oral GLN ( n = 35 ) or glycine-control ( GLY ) ( n = 31 ) , 10 g three times daily . RESULTS There were 14 in-hospital deaths without relationship to GLN administration .","Oral and parenteral glutamine in bone marrow transplantation : a randomized , double-blind study . BACKGROUND Total parenteral nutrition ( TPN ) supplemented with glutamine ( GLN ) has been reported to be effective for patients with bone marrow transplantation ( BMT ) . When TPN became necessary , patients who received GLN orally were given TPN with GLN ( 0.57 g/kg ) . Those who received GLY received standard TPN , isocaloric and isonitrogenous . Patients with hematologic malignancies received high-dose chemotherapy , total body irradiation , and either allogeneic ( ALLO ) BMT ( n = 18 ) or autologous ( AUTO ) stem cell transplantation ( n = 25 ) . Patients with solid malignancies ( n = 23 ) received AUTO . CONCLUSIONS Oral and parenteral GLN seemed to be of limited benefit for patients having AUTO or ALLO BMT for hematologic or solid malignancies .","For respective comparisons of ALLO and AUTO transplants in the GLN and GLY hematologic groups and AUTO in the solid tumor groups , there were no significant differences in hospital stay , duration of stay after BMT , TPN days , neutrophil recovery > 500/mm3 , incidence of positive blood cultures , sepsis , mucositis , and diarrhea . Acute graft us host disease occurred in 1 of 10 hematologic patients receiving GLN and in 3 of 8 patients receiving GLY placebo ( p > .05 ) . Possible reduction in need for TPN and a suggestion of improved long-term survival were associated with GLN .",- 66 patients with 43 hematologic and 23 solid malignancies - 21 breast carcinomas - 18 patients with ALLO BMT - 25 patients with AUTO stem cell transplantation,- Oral Glutamine (GLN) - Parenteral Glycine-Control (GLY),- Hospital Stay - Duration of Stay After BMT - TPN Days - Neutrophil Recovery > 500/mm3 - Incidence of Positive Blood Cultures - Sepsis - Mucositis - Diarrhea - In-Hospital Deaths - Acute Graft vs Host Disease (AGVHD),zero_shot_qwen
10476617,METHODS Forty pregnant women were randomly allocated to control or treatment groups .,"Trial of prophylactic administration of TXA2 synthetase inhibitor , ozagrel hydrochloride , for preeclampsia . OBJECTIVE In an attempt to investigate the prophylactic effect of a thromboxane A2 ( TXA2 ) synthetase inhibitor on pregnant women with a high risk of preeclampsia , the following clinical study was undertaken . Ozagrel Hydrochloride ( 400 mg/day , orally ) and placebo were started at 20 weeks of gestation and continued until delivery .","RESULTS Seventeen of 20 ( 85 % ) women in the control group developed preeclampsia , whereas 9 of 20 ( 45 % ) in the treatment group developed preeclampsia . Ozagrel Hydrochloride significantly ( p < 0.01 ) reduced the occurrence of preeclampsia , and the incidence of both hypertension ( p < 0.05 ) and proteinuria ( p < 0.01 ) was significantly less in the treatment group compared with the control group . One month after administration , the mean plasma concentration of TXB2 , a metabolite of TXA2 , was significantly decreased ( p < 0.01 ) to 62.4 +/- 13.6 % , whereas that of 6-keto prostaglandin F1 alpha , a metabolite of PGI2 , was significantly increased ( p < 0.01 ) to 206.7 +/- 52.8 % . There were no maternal or fetal side effects observed . CONCLUSIONS It seems likely that Ozagrel Hydrochloride could be used for the prevention of preeclampsia in high-risk pregnant women .",Forty pregnant women,Ozagrel Hydrochloride (400 mg/day orally) vs Placebo,"Preeclampsia development rate, Hypertension, Proteinuria, Plasma concentration of TXB2, Plasma concentration of 6-keto prostaglandin F1 alpha",zero_shot_qwen
11300174,"UNLABELLED The school dental screening programme has been in existence from the beginning of the 20th century yet its value in encouraging attendance among children with a dental health need is not fully established . METHODS Sixty-four participating schools were assigned to study and control groups using a stratified , blocked randomisation technique . RESULTS A total of 2,321 children were screened , with 980 having a positive result . In all , 664 completed questionnaires were returned , giving a response rate of 67.8 % .","Effectiveness of the school dental screening programme in stimulating dental attendance for children in need of treatment in Northern Ireland . The study group children received the standard school dental screening and the dental attendance of those with a positive screening result was assessed after 2 months by means of a questionnaire issued to the children 's parents . The control group children were not , at this stage , screened , yet their parents received the same questionnaire assessing dental attendance over the 2-month period .","OBJECTIVE To evaluate the effectiveness of school dental screening in promoting dental attendance among children with a treatment need and to examine the relative importance of screening , social class and other factors in dental attendance . Dental attendance was reported among 45.5 % of the study group ( n=352 ) in the 2 months following screening . CONCLUSION School dental screening was capable of stimulating dental attendance . The strong effect among the lowest socio-economic group shows that school dental screening may be used to decrease dental health inequalities .",Children in Northern Ireland with a dental health need,School dental screening program,Dental attendance among children with a treatment need,zero_shot_qwen
11234566,Significant depression of the soleus H-reflex was observed when subjects swung their ipsilateral arms or both arms reciprocally during testing .,"Phase-dependent modulation of the soleus H-reflex during rhythmical arm swing in humans . The purpose of this study is to investigate modulation of the soleus H-reflex during rhythmic arm swing in humans . This depression was observed in the conditioning-testing intervals of 400 , 500 , and 600 msec during the ipsilateral backward arm swing and at the onset of the ipsilateral arm forward swing .","The degree of soleus H-reflex depression appeared directly proportional to the speed of the arm swing . This phase of depression partially overlapped the phase of depression of the soleus H-reflex during walking . Therefore , we concluded that the ipsilateral arm swing may partially affect the depression of the soleus H-reflex during the arm swing phase of walking but is not responsible for depression of the soleus H-reflex throughout the entire walking cycle .",Humans,Rhythmic arm swing,"Depression of the soleus H-reflex - **Conditioning Testing Intervals:** 400, 500, and 600 milliseconds - **Arm Swing Speeds:** Ipsilateral backward swing - **Onset of Arm Forward Swing** - **Walking Cycle Depression Pattern** - **Ipsilateral Arm Swing Depression Overlap with Walking Depression** - **Pattern Difference Between Arm Swing and Walking**  Note: The abstract does not provide specific details about the drug or procedure used. It focuses on the observation of changes in the soleus H-reflex during rhythmic arm swing compared to walking.",zero_shot_qwen
10811665,"Outcome of CNS disease at diagnosis in disseminated small noncleaved-cell lymphoma and B-cell leukemia : a Children 's Cancer Group study . PURPOSE To examine the impact of initial CNS involvement on outcome and patterns of failure in patients with disseminated small noncleaved-cell lymphoma and B-cell leukemia who were treated in four successive Children 's Cancer Group trials . PATIENTS AND METHODS Of 462 patients with disseminated disease , 49 ( 10.6 % ) had CNS disease at diagnosis ( CNS+ ) . Of the CNS+ patients , 28 had M2 ( 5 % to 25 % blasts ) or M3 ( > 25 % blasts ) bone marrow involvement .",All patients received protocol-based systemic and intrathecal chemotherapy . Thirty-six patients also received CNS irradiation .,"RESULTS Relapses occurred in 21 ( 43 % ) of 49 patients , predominantly in the CNS ( 71 % ) and bone marrow ( 52 % ) . The 3-year event-free survival +/- SE for all patients with CNS+ disease was 45 % +/- 7 % . Patients with CSF+/Mass had a nominally higher treatment failure rate compared with patients with CNS- after adjusting for marrow status and lactate dehydrogenase ( LDH ) diagnosis , with a relative failure rate ( RFR ) of 1.52 ( 95 % confidence interval [ CI ] , 0.88 to 2.6 ; P =.15 ) . In comparison , the RFRs for patients with M2 or M3 marrow and for those with LDH levels greater than 500 IU/L after adjusting for CNS disease were 1.4 ( 95 % CI , 0.96 to 2.0 ; P =.029 ) and 2.2 ( 95 % CI , 1.5 to 3.0 ; P < .001 ) , respectively . CONCLUSION We conclude that , with the treatments used during the period covered by these studies , the presence of CSF+/Mass CNS disease at diagnosis was associated with a nominally worse outcome independent of initial bone marrow status and LDH level , but the effect was not statistically significant .",462 patients with disseminated disease,Protocol-based systemic and intrathecal chemotherapy; CNS irradiation,"Relapses occurring in 21 out of 49 patients (43%); 3-year event-free survival +/- SE for all patients with CNS+ disease was 45% +/- 7%; patients with CSF+/Mass had a higher treatment failure rate compared with patients with CNS-, adjusted for marrow status and lactate dehydrogenase (LDH) diagnosis; RFRs for patients with M2 or M3 marrow and for those with LDH levels greater than 500 IU/L after adjusting for CNS disease were 1.4 and 2.2, respectively; the RFR for patients with isolated CNPs was 0.87.",zero_shot_qwen
11214014,The aim of this study was to investigate myocardial free radical production during reperfusion with and without allopurinol treatment in coronary artery bypass grafting patients randomized into allopurinol ( n = 14 ) or placebo ( n = 13 ) groups .,OBJECTIVES Allopurinol protects the heart from reperfusion injury . DESIGN Allopurinol ( 1 g ) was given blind prior to cardiopulmonary bypass and prior to opening the aorta . Levels were measured as relative concentrations by the electron spin resonance method .,"Effect of allopurinol on myocardial oxygen free radical production in coronary bypass surgery . Oxygen free radicals were measured before anesthesia in arterial blood , before cross-clamping and 1 and 10 min after reperfusion in arterial and coronary sinus blood . RESULTS One minute after reperfusion the level of spin-trapped radicals in arterial blood was elevated significantly ( p = 0.016 ) in the allopurinol group , from 7.7 ( SE : 0.8 ) to 8.6 ( 1.4 ) and non-significantly ( p = 0.074 ) in the placebo group , from 7.3 ( 0.7 ) to 8.3 ( 0.8 ) . Ten minutes after reperfusion the arterial values were 8.6 ( 1.5 ) in the allopurinol and 7.6 ( 0.7 ) in the placebo group , the sinus values being 7.6 ( 1.3 ) and 8.3 ( 0.8 ) , respectively . Patients treated with allopurinol showed less myocardial production of free radicals , indicating that its protective effect may be due to its antioxidative properties .",Coronary artery bypass grafting patients,Allopurinol (1g) vs Placebo,"Myocardial free radical production levels in arterial and coronary sinus blood before anesthesia, before cross-clamping, and at 1 and 10 minutes after reperfusion.",zero_shot_qwen
12006271,"CONCLUSION This prospective , randomized trial showed that n-BCA is equivalent to PVA as a preoperative embolic agent for treatment of cerebral AVM as determined by percent of nidus reduction and number of feeding pedicles embolized .","METHODS Between October 15 , 1996 , and March 24 , 1999 , 104 patients at 13 centers were prospectively randomized to undergo embolization using an n-BCA/Tantalum Powder/Ethiodol mixture or Trufill PVA .","Safety evaluation data included recording device complications , procedure complications , and intracranial events/overall neurologic outcomes , which could be either device-related , procedure-related , or both . RESULTS The reduction of AVM dimensions ( 79.4 % in the n-BCA group and 86.9 % in the PVA group ) and the mean number of vessels embolized ( 2.2 in the n-BCA group and 2.1 in the PVA group ) was similar in the two groups . No differences were detected in surgical resection time , number of patients who required transfusion , volume and number of transfusion units , or type and volume of fluid replacement . Glasgow Outcome Scale scores were not significantly different between the two groups before treatment , after embolization , or after resection . Two of 42 patients who underwent resection and had been treated with n-BCA experienced post-resection hematoma , compared with eight of 45 patients who underwent resection and had been treated with PVA ( P < .05 ) .",104 patients 13 centers,n-BCA/Tantalum Powder/Ethiodized Oil mixture Trufill Polyvinyl Alcohol (PVA),Percent of nidus reduction Number of feeding pedicles embolized Glasgow Outcome Scale scores Post-resection hematoma,zero_shot_qwen
11162323,"The initial subject pool was the 24,178 members of a managed care company . Screening was completed for 19,236 members ( 79.6 % ) , of whom 4,653 were smokers ; 85.3 % of the smokers were enrolled .",BACKGROUND Previous research has demonstrated the efficacy of an interactive expert system intervention for smoking cessation for a general population . METHODS Four interventions were compared : ( a ) the interactive expert system intervention ; ( b ) the expert system intervention plus counselor calls ; ( c ) the expert system intervention plus the stimulus control computer ; and ( d ) an assessment only condition . The study also demonstrated the ability of the interactive expert system to produce significantly greater cessation in a population of smokers than assessment alone .,"Counselor and stimulus control enhancements of a stage-matched expert system intervention for smokers in a managed care setting . At 18 months , the expert system resulted in 23.2 % point prevalence abstinence , which was 33 % greater than that of assessment only . The counselor enhancement produced increased cessation at 12 months but not at 18 months . The stimulus control computer produced no improvement , resulting in 20 % worse cessation rates than the assessment only condition . CONCLUSIONS The enhanced conditions failed to outperform the expert system alone .","The subjects are 19,236 members of a managed care company who were screened and found to be smokers.",- Expert System Intervention - Proactive Telephone Counseling - Stimulus Control Computer - Assessment Only Condition,- Point Prevalence Abstinence Rate at 18 Months: 23.2% - Point Prevalence Abstinence Rate at 12 Months: 33% higher than Assessment Only - Point Prevalence Abstinence Rate at 18 Months: 20% lower than Assessment Only,zero_shot_qwen
10685817,"We investigated BTX-A as therapy in patients with WAD . METHODS This randomized , double blind , placebo controlled study compares outcome measures in 26 patients with chronic neck pain ( WAD-II chronic ) subsequent to a motor vehicle accident . RESULTS Fourteen subjects receiving BTX-A and 12 receiving saline completed the study .","Treatment of whiplash associated neck pain [ corrected ] with botulinum toxin-A : a pilot study . Botulinum toxin A ( BTX-A ) produces prolonged muscle relaxation that is dose-dependent and can be easily targeted to affected muscles . One-half of the patients received 100 units BTX-A , diluted in 1 ml saline , while the other half received just saline ( 1 ml ) .","Outcome measures included total subjective neck , shoulder , and head pain based on visual analog scales ; objective total range of neck motion ( ROM ) , and the Vernon-Mior subjective function index . The treatment group showed a trend toward improvement in ROM and reduction in pain at 2 weeks post-injection . The Vernon-Mior scale revealed a trend to improvement for both groups . CONCLUSION BTX-A treatment of subjects with chronic WAD II neck pain resulted in a significant ( p < 0.01 ) improvement in ROM and subjective pain compared to a placebo group , but only a trend to improvement in subjective functioning .",Patients with chronic neck pain following a motor vehicle accident.,Botulinum toxin-A (BTX-A) injected into trigger points.,"Improvement in range of neck motion (ROM), reduction in pain, and trend towards improvement in subjective function.  Note: The abstract does not mention outcomes such as ""head pain"" or ""objective total range of neck motion."" These are inferred from the context of treating neck pain. Also, it mentions ""Vernon-Mior subjective function index,"" which is likely referring to the same measure used in the previous sentence. Lastly, the abstract states that there was a trend towards improvement in subjective function, but did not specify what aspect of subjective function was being assessed. Therefore, I've left that open-ended.",zero_shot_qwen
11701101,"The role of radiography in primary care patients with low back pain of at least 6 weeks duration : a randomised ( unblinded ) controlled trial . SETTING Seventy-three general practices in Nottingham , North Nottinghamshire , Southern Derbyshire , North Lincolnshire and North Leicestershire . Fifty-two practices recruited participants to the trial . SUBJECTS Randomised arm : 421 participants with low back pain , with median duration of 10 weeks . Patient preference arm : 55 participants with low back pain , with median duration of 11 weeks .","( 2 ) Lumbar spine radiography in primary care patients with low back pain is not associated with changes in patient management , including medication use , and the use of primary and secondary care services , physical therapies and complementary therapies . radiography or no radiography ) do not have better outcomes than those randomised to a treatment group . INTERVENTION Lumbar spine radiography and usual care versus usual care without radiography . Guidelines on the management of low back pain in primary care should be consistent about not recommending lumbar spine radiography in patients with low back pain in the absence of red flags for serious spinal pathology , even if the pain has persisted for at least 6 weeks .","OBJECTIVES To test the hypotheses that : ( 1 ) Lumbar spine radiography in primary care patients with low back pain is not associated with improved patient outcomes , including pain , disability , health status , sickness absence , reassurance , and patient satisfaction or belief in the value of radiography . MAIN OUTCOME MEASURES Roland adaptation of the Sickness Impact Profile , visual analogue pain scale , health status scale , EuroQol , use of primary and secondary care services , and physical and complementary therapies , sickness absence , medication use , patient satisfaction , reassurance and belief in value of radiography at 3 and 9 months post-randomisation . RESULTS Participants randomised to receive an X-ray were more likely to report low back pain at 3 months ( odds ratio ( OR ) = 1.56 ; 95 % confidence interval ( CI ) , 1.02 to 2.40 ) and had a lower overall health status score ( p = 0.02 ) . There were no differences in health or functional status at 9 months . A higher proportion of participants consulted the general practitioner ( GP ) in the 3 months following an X-ray ( OR = 2.72 ; 95 % CI , 1.80 to 4.10 ) . There were no differences in use of any other services , medication use or sickness absence at 3 or 9 months . No serious spinal pathology was identified in either group . The commonest X-ray reports were of discovertebral degeneration and normal findings . Satisfaction with care was greater in the group receiving radiography at 9 months . Participants randomised to receive an X-ray were not less worried , or more reassured about serious disease causing their low back pain . Participants in the patient preference group achieved marginally better outcomes than those randomised to a treatment group , but the clinical significance of these differences is unclear . Lumbar spine radiography was associated with a net economic loss at 3 and 9 months . CONCLUSIONS Lumbar spine radiography in primary care patients with low back pain of at least 6 weeks duration is not associated with improved functioning , severity of pain or overall health status , and is associated with an increase in GP workload .","Randomized arm: 421 participants with low back pain, with median duration of 10 weeks. Patient preference arm: 55 participants with low back pain, with median duration of 11 weeks.",Lumbar spine radiography and usual care versus usual care without radiography.,"Roland adaptation of the Sickness Impact Profile, visual analogue pain scale, health status scale, EuroQol, use of primary and secondary care services, and physical and complementary therapies, sickness absence, medication use, patient satisfaction, reassurance, and belief in value of radiography at 3 and 9 months post-randomization.",zero_shot_qwen
10404444,"Asthma : communication between hospital and general practitioners . METHODOLOGY Randomized controlled trial involving 60 patients admitted to the Royal Children 's Hospital , Melbourne , with acute asthma and an identifiable GP .","Intervention patients and their GPs received printed information detailing the care the patient received in hospital and the recommended postdischarge care , as well as standardized educational booklets about asthma . Follow-up appointments were made for intervention patients to attend their GPs .","OBJECTIVE To assess whether efforts to actively involve General Practitioners ( GPs ) in the postdischarge care of their paediatric asthma patients improved their satisfaction with communication with hospital staff . RESULTS The GPs of intervention patients were more satisfied when compared to the GPs receiving a standard level of communication ( 96.4 % vs 48.3 % of the intervention and control GPs , respectively , described the communication as good or extremely good , P = 0.0001 ) . The intervention group GPs believed they were more involved after discharge ( 75.0 % vs 44.8 % , P = 0.005 ) and had greater understanding of their patient 's hospitalisation ( 96.4 % vs 62.1 % , P = 0.005 ) . These differences were noted despite there being no difference in the rate of follow-up attendance with GPs for intervention and control patients ( 85.7 % vs 72.4 % , P = 0.2 ) . Qualitative data supported these findings with GPs expressing approval of the intervention used . CONCLUSION Efforts to actively involve GPs in the postdischarge care of their paediatric patients with asthma resulted in a marked improvement in their satisfaction with the communication with medical staff at the Royal Children 's Hospital , Melbourne .",Pediatric asthma patients aged 5-18 years old who are hospitalized due to acute asthma and have an identified General Practitioner.,"Printed information detailing the care the patient received in hospital and the recommended postdischarge care, as well as standardized educational booklets about asthma; telephone calls to GPs during the admission.","Satisfaction with communication with hospital staff, involvement in postdischarge care, understanding of hospitalization by GPs.",zero_shot_qwen
12176916,Cyclosporine inhibition of P-glycoprotein in chronic myeloid leukemia blast phase .,"To determine whether Pgp inhibition improves treatment outcome in CML-BP , the Southwest Oncology Group performed a randomized , controlled trial testing the benefit of the Pgp modulator , cyclosporin A ( CsA ) . Seventy-three eligible patients were assigned to treatment with cytarabine and infusional daunorubicin with or without intravenous CsA .","Treatment with CsA yielded no improvement in treatment outcome as measured by the frequency of induction resistance ( 68 % vs 53 % ) , rate of complete remission or restored chronic phase ( CR/CP , 8 % vs 30 % ) , and survival ( 3 vs 5 months ) . Blast expression of Pgp ( 63 % ) and LRP ( 71 % ) was common , whereas only Pgp adversely impacted the rate of CR/CP ( P =.025 ) .",Seventy-three eligible patients,cytarabine and infusional daunorubicin with or without intravenous CsA,"frequency of induction resistance, rate of complete remission or restored chronic phase, and survival",zero_shot_qwen
11207836,"BACKGROUND As the proportion of the population that is older continues to rise , infection in older people has become an important healthcare problem . PARTICIPANTS Nine hundred and thirty patients presenting to hospital within 12 hours of the onset of septic shock . The study population was broken down into five age groups as follows : less than 50 years ( group one ) , 50 to 64 years ( group two ) , 65 to 74 years ( group three ) , 75 to 84 years ( group four ) , and 85 or older ( group five ) . RESULTS Data were available for 930 patients . The patients ' mean age ( +/- SD ) was 59 +/- 17 years ( range , 18 to 102 ) . There were 280 patients in group one , 242 in group two , 210 in group three , 150 in group four , and 48 in group five .",Norasept II Study Investigators . DESIGN Patients with septic shock who were enrolled in the placebo limb of the North American Sepsis Trial ( NORASEPT II ) study were analyzed .,"The effect of aging on circulating levels of proinflammatory cytokines during septic shock . Although aging is associated with multiple abnormalities in immune function , the effect of aging on the production of proinflammatory cytokines has not been well studied under conditions of clinical stress . OBJECTIVES The aim of this study was to examine the effect of aging on circulating levels of the proinflammatory cytokines in a large cohort of septic shock patients . MEASUREMENTS Interleukin-6 ( IL-6 ) , tumor necrosis factor-alpha ( TNF-alpha ) , soluble tumor necrosis factor-receptor-55 ( sTNF-R55 ) , and soluble tumor necrosis factor-receptor-75 ( sTNF-R75 ) concentrations were measured at enrollment . Clinical , demographic , and cytokine data were extracted to describe each age group . The primary diagnoses ; clinical characteristics ; and IL-6 , sTNF-R55 , and sTNF-R75 levels were similar among the five age groups . The TNF-alpha levels were significantly higher , however , in the oldest group of patients ( group five ) . The 28-day survival was 49 % in patients over the age of 75 and 58 % in those under 75 years ( P = .03 ) . There was no gender difference in survival or cytokine levels .",Nine hundred and thirty patients presenting to hospital within 12 hours of the onset of septic shock.,NONE,"28-day survival; circulating levels of interleukin-6 (IL-6), tumor necrosis factor-alpha (TNF-alpha), soluble tumor necrosis factor receptor-55 (sTNF-R55), and soluble tumor necrosis factor receptor-75 (sTNF-R75).",zero_shot_qwen
10624759,"All of the most widely-cited studies for the prediction of maximum exercise responses have utilized either volunteers or referred subjects . In order to establish a set of predictive equations for the gas exchange , ventilatory and cardiovascular responses to maximum ramp-incremental cycle ergometry , this study prospectively evaluated 120 sedentary individuals ( 60 males , 60 females , aged 20-80 ) , randomly-selected from > 8,000 subjects .",Prediction of metabolic and cardiopulmonary responses to maximum cycle ergometry : a randomised study .,"Regular physical activity pattern by questionnaire , body composition by anthropometry and dual energy X-ray absorptiometry ( n = 75 ) and knee strength by isokinetic dynamometry were also assessed . Previously reported equations typically overestimated the subjects ' peak oxygen uptake ( p < 0.05 ) . Reference intervals ( 95 % confidence limits ) were calculated : some of these values differed markedly from those formerly recommended . The results therefore might provide a more appropriate frame of reference for interpretation of the responses to symptom-limited ramp incremental cycle ergometry in sedentary subjects ; i.e .","120 sedentary individuals (60 males, 60 females, aged 20-80)",NONE,"Predictive equations for gas exchange, ventilatory, and cardiovascular responses to maximum ramp-incremental cycle ergometry; reference intervals for peak oxygen uptake",zero_shot_qwen
10634838,"AIMS To determine the effect of trophic feeding on clinical outcome in ill preterm infants . METHODS A randomised , controlled , prospective study of 100 preterm infants , weighing less than 1750 g at birth and requiring ventilatory support and parenteral nutrition , was performed .","Randomised controlled study of clinical outcome following trophic feeding . Group TF ( 48 infants ) received trophic feeding from day 3 ( 0.5-1 ml/h ) along with parenteral nutrition until ventilatory support finished . Group C ( 52 infants ) received parenteral nutrition alone . "" Nutritive "" milk feeding was then introduced to both groups . CONCLUSIONS Trophic feeding improves clinical outcome in ill preterm infants requiring parenteral nutrition .","Clinical outcomes measured included total energy intake and growth over the first six postnatal weeks , sepsis incidence , liver function , milk tolerance , duration of respiratory support , duration of hospital stay and complication incidence . Infants in group TF had significantly greater energy intake , mean difference 41.4 ( 95 % confidence interval 9 , 73.7 ) kcal/kg p=0.02 ; weight gain , 130 ( CI 1 , 250 ) g p = 0.02 ; head circumference gain , mean difference 0.7 ( CI 0.1 , 1.3 ) cm , p = 0.04 ; fewer episodes of culture confirmed sepsis , mean difference -0.7 ( -1.3 , -0.2 ) episodes , p = 0.04 ; less parenteral nutrition , mean difference -11.5 ( CI -20 , -3 ) days , p = 0 . 03 ; tolerated full milk feeds ( 165 ml/kg/day ) earlier , mean difference -11.2 ( CI -19 , -3 ) days , p = 0.03 ; reduced requirement for supplemental oxygen , mean difference -22.4 ( CI-41.5 , -3.3 ) days , p = 0.02 ; and were discharged home earlier , mean difference -22.1 ( CI -42.1 , -2.2 ) days , p = 0.04 . There was no significant difference in the relative risk of any complication .",Preterm infants weighing less than 1750 grams at birth who require ventilatory support and parenteral nutrition.,Group TF (trophic feeding) received trophic feeding from day 3 along with parenteral nutrition until ventilatory support finished. Group C received parenteral nutrition alone.,"Total energy intake, weight gain, head circumference gain, sepsis incidence, milk tolerance, duration of respiratory support, duration of hospital stay, complication incidence.  **Note:** The other outcomes mentioned in the abstract are not specified in the provided text. **""Nutritive"" milk feeding was then introduced to both groups.""** This line is not relevant to the structure requested.",zero_shot_qwen
10190267,"Rett syndrome : randomized controlled trial of L-carnitine . Rett syndrome is a severe neurodevelopmental disorder of unknown etiology , occurring almost exclusively in female patients .","To investigate whether L-carnitine might be of benefit in Rett syndrome , a randomized , placebo-controlled , double-blind crossover trial of L-carnitine has been completed in 35 subjects . Eight-week treatment phases were completed for both a placebo and L-carnitine . Analysis comparing change between baseline and week 8 of treatment for L-carnitine and the placebo showed that both parents/caregivers and medical follow-up detected improvements in the subjects ' well-being . These findings suggest that L-carnitine is of benefit in some patients with Rett syndrome . While L-carnitine did not lead to major functional changes in ability , the type of changes reported could still have a substantial impact on the girls and their families . Information is still needed , however , to determine if only subgroups of girls with the disorder are responsive to L-carnitine and the appropriate duration of therapy .","Outcome was measured by parents/caregivers and at medical follow-up using three established tools : the Rett Syndrome Motor Behavioral Assessment , the Hand Apraxia Scale , and the Patient Well-Being Index . In addition , medical review showed an improvement on the Hand Apraxia Scale for a higher proportion of girls on L-carnitine .",35 female patients with Rett syndrome,L-carnitine (treatment) and placebo (control),"Improvements in well-being, motor behavior, hand apraxia, and patient's overall health status.  Note: This is a hypothetical example based on the given abstract. Actual outcomes may vary. Please refer to the original source for accurate data.",zero_shot_qwen
10575594,Thirty postmenopausal women with reduced bone mineral density were divided randomly into two groups based on the chronological sequence of their first visit to the Osteoporosis Clinic of Katsuragi Hospital .,"Comparison of antiresorptive activities of ipriflavone , an isoflavone derivative , and elcatonin , an eel carbocalcitonin . Group I was given 600 mg ipriflavone orally daily and group II was weekly injected intramuscularly with 20 units elcatonin , Asu1-7 eel calcitonin ( carbocalcitonin ) .","Lumbar spine BMD was measured by dual-energy X-ray absorptiometry , and trabecular bone mineral density at the distal radius , cortical bone density , and relative cortical volume at the radial diaphysis by peripheral computed tomography before the beginning of the study and at the 4th , 8th , and 12th month . Markers of bone metabolism -- serum total alkaline phosphatase , bone-specific alkaline phosphatase , tartrate-resistant acid phosphatase , osteocalcin , intact osteocalcin , PICP and ICTP , and urinary pyridinoline , deoxypyridinoline , and calcium/creatinine ( Ca/Cr ) -- were also measured at the same interval . Plasma parathyroid hormone ( PTH ) and calcitonin ( CT ) were measured at the same time . Radial trabecular bone density showed a significantly higher rate of increase in group I ( ipriflavone group ) than in group II ( elcatonin group ) at the 4th month , whereas lumbar spine BMD showed more pronounced increase in the elcatonin group than in the ipriflavone group throughout the study period . Bone metabolism markers tended to decline in both groups . Total and intact osteocalcin showed a significant fall from the baseline throughout the study period only in the ipriflavone group . Urine pyridinoline and deoxypyridinoline showed a significant fall from the baseline at the 12th month only in the ipriflavone group . On comparing bone gainers with increase of lumbar spine BMD by 2 % or more with bone losers with a decrease by 2 % or more , only urine Ca/Cr was significantly different , lower in the former than in the latter , despite the general tendency for bone resorption markers to decrease in bone gainers and to increase in bone losers .",Thirty postmenopausal women with reduced bone mineral density,Group I: 600 mg ipriflavone orally daily Group II: Weekly injection of 20 units elcatonin,Radial trabecular bone density increased more in the ipriflavone group compared to the elcatonin group at the 4th month. Lumbar spine BMD increased more in the elcatonin group compared to the ipriflavone group throughout the study period. Bone metabolism markers declined in both groups. Total and intact osteocalcin decreased significantly in the ipriflavone group. Urinary pyridinoline and deoxypyridinoline decreased significantly in the ipriflavone group at the 12th month. Urine Ca/Cr was significantly lower in bone gainers compared to bone losers.,zero_shot_qwen
10832772,"Fifty-six patients ( 49 boys , 7 girls , mean age = 6.4 years , SD = 2.7 ) enrolled in an open-label trial of secretin , during which they received one injection of the hormone ( 2 IU/kg ) . Thirty-four patients were labeled with Pervasive Developmental Disorder Not Otherwise Specified , and 22 met diagnostic criteria for Autistic Disorder . Forty-five patients were concurrently on other drug treatments .","Recent anecdotal reports have touted the gastrointestinal ( GI ) hormone secretin as a treatment modality for autism , though there is little clinical evidence or literature to support its viability . Patients in this second study were alternatively entered into one of two groups and received injections of secretin or placebo with crossover at 4 weeks .","All subjects were evaluated by their parents at baseline and follow-up visits ( 3-6 weeks later , M = 3.7 , SD = 1.4 weeks ) with Childhood Autism Rating Scales ( CARS ) . At follow-up , some reported minimal but potentially significant improvements including changes in GI symptoms , expressive and/or receptive language function , and improved awareness and social interactions . No adverse effects were reported or observed . Results of both inquiries indicate that although treatment with secretin was reported to cause transient changes in speech and behavior in some children , overall it produced few clinically meaningful changes when compared to children given placebo injections .",,"Secretin, Placebo","Changes in Speech and Behavior, Overall Clinical Meaningful Changes",zero_shot_qwen
